Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2014,"A.J. Burnett","PHI",213.2,-5.204604700177485,,,,,-9.144425995495855,,,3.3401407591054135,,-7.632803252249053,,,"A.J. Burnett",512,150359
2014,"Jason Grilli","- - -",54,-7.3315629609977115,,,,,-9.224864650417018,6.101189357625197,,,,-8.457358306308961,,,"Jason Grilli",521,276351
2014,"Brad Penny","MIA",26,-4.124382411732393,,-0.2493333419164022,-5.986068205399946,,-7.902352725758272,,4.166106567382813,,,,,,"Brad Penny",535,207267
2014,"Jeremy Affeldt","SFG",55.1,,,,,,10.535950463219027,,-5.677254813058036,,,8.877225634077904,,,"Jeremy Affeldt",583,346793
2014,"Jamey Wright","LAD",70.1,-3.072499990463257,,1.2082662738742977,,,-8.645161632405285,5.256437625735998,7.911307448640875,,,-7.893557860301091,,,"Jamey Wright",715,124604
2014,"Grant Balfour","TBR",62.1,0.4909688013136289,,4.274062633514404,,,-4.394000244140625,2.10453216374269,3.9603884798809164,,,-6.293750286102295,,,"Grant Balfour",718,346797
2014,"LaTroy Hawkins","COL",54.1,-5.730424031172649,,,,,-7.720000130789621,1.997810594963305,2.8388923058143027,,,-4.670444488525391,,,"LaTroy Hawkins",729,115629
2014,"Kyle Lohse","MIL",198.1,-2.603636308149858,,,,,-6.80067357388974,3.627959413754228,5.028579414388927,,,-7.436675546056938,,,"Kyle Lohse",739,346798
2014,"Bruce Chen","KCR",48.1,7.005903680640531,,,,,9.18170650421627,-0.6452788172158167,-3.740675642683699,,-9.012423891009707,7.956535987604678,,,"Bruce Chen",769,136600
2014,"Scott Downs","- - -",38,,,,,,10.09147482313868,0.8106542391197704,-6.7655552758110895,,,,,,"Scott Downs",773,275933
2014,"Randy Choate","STL",36,8.927999877929688,,,,,8.16586334536774,-6.502139981232542,,,,,,,"Randy Choate",813,329092
2014,"Scott Carroll","CHW",129.1,-6.228154015174279,,-0.46415095059376843,,,-9.81253533264758,1.7419047279963418,6.880745994438559,,,-5.5124058820199275,,,"Scott Carroll",888,453222
2014,"Tim Hudson","SFG",189.1,-4.715782129369076,,1.091031707279266,-6.46388900683122,,-8.194184231069476,,8.306170004986702,,,,,,"Tim Hudson",921,218596
2014,"Randy Wolf","MIA",25.2,4.9451547996285035,,1.8985714742115565,,,8.10272070940803,-1.1090566527168706,-2.665432211793499,,-3.8400001525878906,8.563703819557473,,,"Randy Wolf",976,150116
2014,"Bronson Arroyo","ARI",86,-3.6216667175292967,,,,,-8.001031528494371,7.082900651538645,7.49402546432783,,,-7.27195475872298,,,"Bronson Arroyo",978,276520
2014,"Joe Beimel","SEA",45,4.618172481142241,,,,,8.230545801473848,-1.1655394905491878,-6.426296092845775,,,10.036800130208333,,,"Joe Beimel",979,346847
2014,"Ryan Vogelsong","SFG",184.2,-4.744538799485661,,,,,-8.084092109653024,-0.326440970102946,2.300476181864528,,,-7.957446114260144,,,"Ryan Vogelsong",1011,285064
